date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:29:04	1281/1281	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2024%20Dec%202023%2016:29:03%20GMT	https://aegontrade.com/robots.txt		(from )
17:29:06	709053/709053	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Dec%202023%2016:29:03%20GMT	https://aegontrade.com/	C:/My%20Web%20Sites/aegon2/aegontrade.com/index.html	(from )
17:29:09	15086/15086	---M--	200	added ('OK')	image/x-icon	date:Tue,%2029%20Mar%202022%2018:43:52%20GMT	https://aegontrade.com/assets/newfront/images/common/icons/new-fav-icons/favicon.ico	C:/My%20Web%20Sites/aegon2/aegontrade.com/assets/newfront/images/common/icons/new-fav-icons/favicon.ico	(from https://aegontrade.com/)
17:29:14	156279/156279	---M--	200	added ('OK')	image/png	date:Fri,%2030%20Jun%202023%2010:16:51%20GMT	https://aegontrade.com/assets/images/seo/62e1644a6eaf71658938442.png	C:/My%20Web%20Sites/aegon2/aegontrade.com/assets/images/seo/62e1644a6eaf71658938442.png	(from https://aegontrade.com/)
17:29:15	25254/25254	---M--	200	added ('OK')	text/css	etag:%22a69aa970266649e0b08c2cb4bc166568%22	https://cdn.multibankfx.com/library/css/intlTelInput.css	C:/My%20Web%20Sites/aegon2/cdn.multibankfx.com/library/css/intlTelInput.css	(from https://aegontrade.com/)
17:29:17	31006/31006	---M--	200	added ('OK')	application/javascript	etag:%225e243d9abb51d431ff2184d2a9a40c5b%22	https://cdn.multibankfx.com/library/js/intlTelInput.min.js	C:/My%20Web%20Sites/aegon2/cdn.multibankfx.com/library/js/intlTelInput.min.js	(from https://aegontrade.com/)
17:29:19	89476/89476	---M--	200	added ('OK')	application/javascript	date:Wed,%2028%20Oct%202020%2013:16:30%20GMT	https://aegontrade.com/assets/newfront/static_js/jquery.min.js	C:/My%20Web%20Sites/aegon2/aegontrade.com/assets/newfront/static_js/jquery.min.js	(from https://aegontrade.com/)
17:29:21	24371/24371	---M--	200	added ('OK')	application/javascript	date:Sun,%2025%20Oct%202020%2022:05:26%20GMT	https://aegontrade.com/assets/newfront/static_js/jquery.validate.min.js	C:/My%20Web%20Sites/aegon2/aegontrade.com/assets/newfront/static_js/jquery.validate.min.js	(from https://aegontrade.com/)
17:29:22	15575/15575	---M--	200	added ('OK')	text/css	etag:%22c936be3701c60de510d4484bf6832995%22	https://cdn.multibankfx.com/library/css/swiper-bundle.min.css?v=1	C:/My%20Web%20Sites/aegon2/cdn.multibankfx.com/library/css/swiper-bundle.min3860.css	(from https://aegontrade.com/)
17:29:24	135925/135925	---M--	200	added ('OK')	application/javascript	etag:%220039da3ba49f80727fbd98d9799f7a61%22	https://cdn.multibankfx.com/library/js/swiper.min.js?v=1	C:/My%20Web%20Sites/aegon2/cdn.multibankfx.com/library/js/swiper.min3860.js	(from https://aegontrade.com/)
17:29:24	64298/64298	---M-Z	200	added ('OK')	text/css	etag:W/%22fb2a-9A5SAXFt6CCvp15g/VeVRm5TCy4%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.7.0/font/bootstrap-icons.min.css	C:/My%20Web%20Sites/aegon2/cdn.jsdelivr.net/npm/bootstrap-icons@1.7.0/font/bootstrap-icons.min.css	(from https://aegontrade.com/)
